Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,Al,V,Ta,Ti,Co,Mg,Y,Zr,Hf,Mahalanobis_sq,empirical_tail_prob,dataset,UMAP Component 1,UMAP Component 2
10.27148578895017,31.29049408631733,51.98555612171399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.601017748048015,0.0,0.0,4.851446254970497,0.0,0.0,0.0,0.0,39.64238515372254,0.04698972099853157,new NiCrCoVFe data,-1.6610035,8.848422
10.49540628405087,32.94577234077189,47.58971794791144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.334196184849361,0.0,0.0,6.634907242416435,0.0,0.0,0.0,0.0,34.10621431907559,0.0631424375917768,new NiCrCoVFe data,-1.4966286,8.882419
11.11292799977388,32.81214789008236,43.56230343162476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.278592219785826,0.0,0.0,9.234028458733178,0.0,0.0,0.0,0.0,27.703212559002907,0.11747430249632893,new NiCrCoVFe data,-1.391266,8.756613
11.33579528302992,32.22397566351926,39.22125295817604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.621174438767964,0.0,0.0,12.59780165650682,0.0,0.0,0.0,0.0,21.931799310891687,0.19823788546255505,new NiCrCoVFe data,-1.288559,8.603329
11.53221857575777,30.53157810614559,34.88574415625551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.330070586728944,0.0,0.0,16.72038857511217,0.0,0.0,0.0,0.0,16.78212647922795,0.35389133627019087,new NiCrCoVFe data,-1.2706376,8.476497
11.73836346032553,22.86895992276621,61.37440160498019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.259725905661516,0.0,0.0,2.758549106266543,0.0,0.0,0.0,0.0,49.10997498807219,0.032305433186490456,new NiCrCoVFe data,-2.3195434,8.530354
12.47588443056982,24.98368892830287,56.71556632861048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.634808196102548,0.0,0.0,4.190052116414273,0.0,0.0,0.0,0.0,40.6190884810757,0.04405286343612335,new NiCrCoVFe data,-1.951778,8.742804
13.31360035996819,26.54966770489246,52.00259710594798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.419855387591513,0.0,0.0,5.714279441599858,0.0,0.0,0.0,0.0,33.06060665895804,0.06754772393538913,new NiCrCoVFe data,-1.8117218,8.652409
14.04586286313179,26.99036608992429,46.90426102417226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.607507573809785,0.0,0.0,8.452002448961867,0.0,0.0,0.0,0.0,25.204409210584622,0.1527165932452276,new NiCrCoVFe data,-1.5996096,8.567275
14.78596965177877,27.06870998804106,42.00036448179262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28571231605495,0.0,0.0,10.8592435623326,0.0,0.0,0.0,0.0,19.40871944498418,0.2643171806167401,new NiCrCoVFe data,-1.4690235,8.484206
14.60750023008277,25.99044553565464,37.75047907645035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.292177963267194,0.0,0.0,14.35939719454503,0.0,0.0,0.0,0.0,15.212082219305952,0.4287812041116006,new NiCrCoVFe data,-1.2643238,8.357085
13.93632017907879,24.36465676002593,32.8770530221699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51764696301523,0.0,0.0,18.30432307571014,0.0,0.0,0.0,0.0,13.165834708215975,0.5080763582966226,new NiCrCoVFe data,-1.1200573,8.059659
13.2060787967079,15.02832349645654,69.29549240142492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.797746795120238,0.0,0.0,1.672358510290382,0.0,0.0,0.0,0.0,61.476311181589026,0.02643171806167401,new NiCrCoVFe data,-3.8972661,7.90319
14.43724685121477,17.46573593468872,64.41049102823393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.20945092086888,0.0,0.0,2.47707526499368,0.0,0.0,0.0,0.0,50.31768851174184,0.032305433186490456,new NiCrCoVFe data,-3.0331218,8.525568
