Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,Al,V,Ta,Ti,Co,Mg,Y,Zr,Hf,Mahalanobis_sq,empirical_tail_prob,dataset,UMAP Component 1,UMAP Component 2
14.31699359657089,35.21024747388501,45.45303756381198,4.138939456436662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8807819092954645,0.0,0.0,0.0,0.0,0.0,8.887255734503425,0.3758765778401122,new NiCrMoTiFe data,-1.9011732,10.440818
15.27891067420843,36.6201454088738,40.92255698837002,5.876322025641183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.302064902906558,0.0,0.0,0.0,0.0,0.0,10.053140574843777,0.3141654978962132,new NiCrMoTiFe data,-1.705519,10.649474
15.85974020072816,36.64321598420395,37.76174814854082,7.80394955983821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.931346106688842,0.0,0.0,0.0,0.0,0.0,11.141610897576506,0.23562412342215988,new NiCrMoTiFe data,-1.5992175,10.855759
16.6254486072678,36.11907612318919,34.64032304241116,9.938243812179149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.676908414952717,0.0,0.0,0.0,0.0,0.0,12.671639670696006,0.20757363253856942,new NiCrMoTiFe data,-1.5708061,11.019912
16.72168606967666,34.35963304036784,32.01806283446086,13.07589480250266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.824723252991968,0.0,0.0,0.0,0.0,0.0,15.742100025702234,0.17812061711079943,new NiCrMoTiFe data,-1.4335518,11.28595
17.58023045110392,25.78737383125358,52.95340249452182,3.020229760012374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6587634631082945,0.0,0.0,0.0,0.0,0.0,4.974400481025157,0.5553997194950911,new NiCrMoTiFe data,-2.2209542,10.62904
18.57818076528054,27.91436124376087,48.96939004892192,3.715176746073181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8228911959634791,0.0,0.0,0.0,0.0,0.0,5.327660928562259,0.5455820476858345,new NiCrMoTiFe data,-2.087526,10.784993
19.60838259075554,29.66754518388709,43.89614162525374,5.44038604100223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38754455910141,0.0,0.0,0.0,0.0,0.0,6.234749297696502,0.5231416549789621,new NiCrMoTiFe data,-1.9735457,10.98528
20.10500298210745,29.98729806356584,40.7223095709536,7.226526681518458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.958862701854644,0.0,0.0,0.0,0.0,0.0,7.217473129260549,0.49789621318373073,new NiCrMoTiFe data,-1.8720671,11.109883
20.82282672295324,29.84803147986053,36.74628169506838,9.683662142563847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.899197959554011,0.0,0.0,0.0,0.0,0.0,9.446717006816487,0.3338008415147265,new NiCrMoTiFe data,-1.7163441,11.364833
