Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,Al,V,Ta,Ti,Co,Mg,Y,Zr,Hf,Mahalanobis_sq,empirical_tail_prob,dataset,UMAP Component 1,UMAP Component 2
10.27148578895017,31.29049408631733,51.98555612171399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.601017748048015,0.0,0.0,4.851446254970497,0.0,0.0,0.0,0.0,14.728272630136116,0.19915848527349228,new NiCrCoVFe data,-1.6610035,8.848422
10.49540628405087,32.94577234077189,47.58971794791144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.334196184849361,0.0,0.0,6.634907242416435,0.0,0.0,0.0,0.0,24.297451030846407,0.12201963534361851,new NiCrCoVFe data,-1.4966286,8.882419
11.11292799977388,32.81214789008236,43.56230343162476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.278592219785826,0.0,0.0,9.234028458733178,0.0,0.0,0.0,0.0,41.63000480568811,0.08835904628330996,new NiCrCoVFe data,-1.391266,8.756613
11.33579528302992,32.22397566351926,39.22125295817604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.621174438767964,0.0,0.0,12.59780165650682,0.0,0.0,0.0,0.0,76.17823974133324,0.047685834502103785,new NiCrCoVFe data,-1.288559,8.603329
11.53221857575777,30.53157810614559,34.88574415625551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.330070586728944,0.0,0.0,16.72038857511217,0.0,0.0,0.0,0.0,136.93139698339112,0.023842917251051893,new NiCrCoVFe data,-1.2706376,8.476497
11.73836346032553,22.86895992276621,61.37440160498019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.259725905661516,0.0,0.0,2.758549106266543,0.0,0.0,0.0,0.0,9.720851640639756,0.32398316970546986,new NiCrCoVFe data,-2.3195434,8.530354
12.47588443056982,24.98368892830287,56.71556632861048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.634808196102548,0.0,0.0,4.190052116414273,0.0,0.0,0.0,0.0,13.024312263382257,0.2061711079943899,new NiCrCoVFe data,-1.951778,8.742804
13.31360035996819,26.54966770489246,52.00259710594798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.419855387591513,0.0,0.0,5.714279441599858,0.0,0.0,0.0,0.0,22.39286718393896,0.1332398316970547,new NiCrCoVFe data,-1.8117218,8.652409
14.04586286313179,26.99036608992429,46.90426102417226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.607507573809785,0.0,0.0,8.452002448961867,0.0,0.0,0.0,0.0,44.34370509367426,0.08555399719495091,new NiCrCoVFe data,-1.5996096,8.567275
14.78596965177877,27.06870998804106,42.00036448179262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28571231605495,0.0,0.0,10.8592435623326,0.0,0.0,0.0,0.0,87.31860260171237,0.03506311360448808,new NiCrCoVFe data,-1.4690235,8.484206
14.60750023008277,25.99044553565464,37.75047907645035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.292177963267194,0.0,0.0,14.35939719454503,0.0,0.0,0.0,0.0,161.45899126157494,0.019635343618513323,new NiCrCoVFe data,-1.2643238,8.357085
13.93632017907879,24.36465676002593,32.8770530221699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51764696301523,0.0,0.0,18.30432307571014,0.0,0.0,0.0,0.0,322.7188807479889,0.005610098176718092,new NiCrCoVFe data,-1.1200573,8.059659
13.2060787967079,15.02832349645654,69.29549240142492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.797746795120238,0.0,0.0,1.672358510290382,0.0,0.0,0.0,0.0,8.131415579609854,0.3955119214586255,new NiCrCoVFe data,-3.8972661,7.90319
14.43724685121477,17.46573593468872,64.41049102823393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.20945092086888,0.0,0.0,2.47707526499368,0.0,0.0,0.0,0.0,9.442311618787617,0.3338008415147265,new NiCrCoVFe data,-3.0331218,8.525568
15.77509757365795,19.46141471946138,59.47972292144197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.735788529393408,0.0,0.0,3.547976256045292,0.0,0.0,0.0,0.0,13.197673522255439,0.2061711079943899,new NiCrCoVFe data,-2.512075,8.514399
17.01643502058164,21.27838133381189,53.96503504675589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.770549678121697,0.0,0.0,4.96959892072887,0.0,0.0,0.0,0.0,25.69556611047371,0.11360448807854137,new NiCrCoVFe data,-2.191206,8.519765
17.57324774662381,21.9085475462501,50.2956906832617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69510141148884,0.0,0.0,6.527412612375554,0.0,0.0,0.0,0.0,42.5159197803752,0.08835904628330996,new NiCrCoVFe data,-1.9139605,8.295819
